season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
16_season,Burnley,Swansea,0,1,A,J Moss,10,14,3,2,0,0
16_season,Crystal Palace,West Brom,0,1,A,C Pawson,12,15,2,2,0,0
16_season,Everton,Tottenham,1,1,D,M Atkinson,10,14,0,0,0,0
16_season,Hull,Leicester,2,1,H,M Dean,8,17,2,2,0,0
16_season,Man City,Sunderland,2,1,H,R Madley,11,14,1,2,0,0
16_season,Middlesbrough,Stoke,1,1,D,K Friend,18,14,3,5,0,0
16_season,Southampton,Watford,1,1,D,R East,8,12,1,2,0,1
16_season,Arsenal,Liverpool,3,4,A,M Oliver,13,17,3,3,0,0
16_season,Bournemouth,Man United,1,3,A,A Marriner,7,10,0,1,0,0
16_season,Chelsea,West Ham,2,1,H,A Taylor,16,16,5,2,0,0
16_season,Man United,Southampton,2,0,H,A Taylor,11,8,0,0,0,0
16_season,Burnley,Liverpool,2,0,H,L Mason,14,5,0,1,0,0
16_season,Leicester,Arsenal,0,0,D,M Clattenburg,11,7,1,2,0,0
16_season,Stoke,Man City,1,4,A,M Dean,12,13,3,4,0,0
16_season,Swansea,Hull,0,2,A,S Attwell,7,10,0,0,0,0
16_season,Tottenham,Crystal Palace,1,0,H,M Oliver,19,9,3,3,0,0
16_season,Watford,Chelsea,1,2,A,J Moss,20,10,4,3,0,0
16_season,West Brom,Everton,1,2,A,N Swarbrick,16,10,3,1,0,0
16_season,Sunderland,Middlesbrough,1,2,A,M Atkinson,11,14,1,1,0,0
16_season,West Ham,Bournemouth,1,0,H,C Pawson,15,15,3,1,0,1
16_season,Chelsea,Burnley,3,0,H,M Clattenburg,6,9,2,2,0,0
16_season,Crystal Palace,Bournemouth,1,1,D,M Dean,15,10,2,1,0,0
16_season,Everton,Stoke,1,0,H,M Oliver,14,11,2,1,0,0
16_season,Hull,Man United,0,1,A,J Moss,9,6,2,3,0,0
16_season,Leicester,Swansea,2,1,H,R East,14,10,2,2,0,0
16_season,Southampton,Sunderland,1,1,D,L Mason,15,8,2,2,0,0
16_season,Tottenham,Liverpool,1,1,D,R Madley,11,17,3,5,0,0
16_season,Watford,Arsenal,1,3,A,K Friend,18,15,6,1,0,0
16_season,Man City,West Ham,3,1,H,A Marriner,5,10,1,3,0,0
16_season,West Brom,Middlesbrough,0,0,D,A Taylor,12,11,1,3,0,0
16_season,Arsenal,Southampton,2,1,H,R Madley,10,8,2,5,0,0
16_season,Bournemouth,West Brom,1,0,H,K Friend,9,11,1,3,0,0
16_season,Burnley,Hull,1,1,D,P Tierney,13,3,2,0,0,0
16_season,Liverpool,Leicester,4,1,H,C Pawson,4,8,1,2,0,0
16_season,Man United,Man City,1,2,A,M Clattenburg,15,10,4,2,0,0
16_season,Middlesbrough,Crystal Palace,1,2,A,N Swarbrick,5,9,1,2,0,0
16_season,Stoke,Tottenham,0,4,A,A Taylor,13,18,3,2,0,0
16_season,West Ham,Watford,2,4,A,M Atkinson,10,15,2,2,0,0
16_season,Swansea,Chelsea,2,2,D,A Marriner,17,8,3,4,0,0
16_season,Sunderland,Everton,0,3,A,M Jones,11,8,1,1,0,0
16_season,Chelsea,Liverpool,1,2,A,M Atkinson,6,13,1,1,0,0
16_season,Everton,Middlesbrough,3,1,H,L Mason,5,15,2,1,0,0
16_season,Hull,Arsenal,1,4,A,R East,9,12,0,2,1,0
16_season,Leicester,Burnley,3,0,H,A Taylor,10,9,0,1,0,0
16_season,Man City,Bournemouth,4,0,H,J Moss,8,11,1,1,1,0
16_season,West Brom,West Ham,4,2,H,M Clattenburg,14,6,2,1,0,0
16_season,Crystal Palace,Stoke,4,1,H,C Pawson,15,9,2,1,0,0
16_season,Southampton,Swansea,1,0,H,M Jones,14,9,1,1,0,0
16_season,Tottenham,Sunderland,1,0,H,M Dean,7,16,1,5,0,1
16_season,Watford,Man United,3,1,H,M Oliver,14,19,3,4,0,0
16_season,Arsenal,Chelsea,3,0,H,M Oliver,9,11,0,2,0,0
16_season,Bournemouth,Everton,1,0,H,R Madley,10,14,2,2,0,0
16_season,Liverpool,Hull,5,1,H,A Marriner,8,8,1,2,0,1
16_season,Man United,Leicester,4,1,H,M Dean,9,12,0,2,0,0
16_season,Middlesbrough,Tottenham,1,2,A,G Scott,14,9,2,1,0,0
16_season,Stoke,West Brom,1,1,D,M Atkinson,9,13,3,4,0,0
16_season,Sunderland,Crystal Palace,2,3,A,A Taylor,15,12,0,2,0,0
16_season,Swansea,Man City,1,3,A,N Swarbrick,15,9,2,4,0,0
16_season,West Ham,Southampton,0,3,A,J Moss,9,14,5,2,0,0
16_season,Burnley,Watford,2,0,H,M Jones,11,15,1,3,0,0
16_season,Everton,Crystal Palace,1,1,D,J Moss,16,11,5,4,0,0
16_season,Hull,Chelsea,0,2,A,A Taylor,13,15,2,2,0,0
16_season,Sunderland,West Brom,1,1,D,S Attwell,7,13,1,3,0,0
16_season,Swansea,Liverpool,1,2,A,M Oliver,11,9,2,2,0,0
16_season,Watford,Bournemouth,2,2,D,M Dean,17,12,3,4,0,0
16_season,West Ham,Middlesbrough,1,1,D,N Swarbrick,13,12,2,3,0,0
16_season,Burnley,Arsenal,0,1,A,C Pawson,2,3,0,0,0,0
16_season,Leicester,Southampton,0,0,D,M Atkinson,9,9,1,0,0,0
16_season,Man United,Stoke,1,1,D,R Madley,14,9,3,0,0,0
16_season,Tottenham,Man City,2,0,H,A Marriner,20,10,2,2,0,0
16_season,Arsenal,Swansea,3,2,H,J Moss,7,10,0,1,1,0
16_season,Bournemouth,Hull,6,1,H,L Mason,8,14,0,3,0,0
16_season,Chelsea,Leicester,3,0,H,A Marriner,6,12,1,1,0,0
16_season,Crystal Palace,West Ham,0,1,A,M Atkinson,12,13,1,3,0,1
16_season,Man City,Everton,1,1,D,M Oliver,7,9,0,2,0,0
16_season,Stoke,Sunderland,2,0,H,M Jones,10,13,1,1,0,0
16_season,West Brom,Tottenham,1,1,D,K Friend,14,10,2,2,0,0
16_season,Middlesbrough,Watford,0,1,A,R East,15,10,4,1,0,0
16_season,Southampton,Burnley,3,1,H,M Dean,11,10,1,2,0,0
16_season,Liverpool,Man United,0,0,D,A Taylor,14,20,0,4,0,0
16_season,Arsenal,Middlesbrough,0,0,D,M Dean,6,13,1,0,0,0
16_season,Bournemouth,Tottenham,0,0,D,C Pawson,10,15,2,4,0,0
16_season,Burnley,Everton,2,1,H,M Jones,16,15,2,3,0,0
16_season,Hull,Stoke,0,2,A,K Friend,16,8,2,3,0,0
16_season,Leicester,Crystal Palace,3,1,H,M Oliver,10,8,0,0,0,0
16_season,Liverpool,West Brom,2,1,H,N Swarbrick,9,13,1,3,0,0
16_season,Swansea,Watford,0,0,D,P Tierney,15,16,2,1,0,0
16_season,West Ham,Sunderland,1,0,H,R Madley,10,13,2,5,0,0
16_season,Chelsea,Man United,4,0,H,M Atkinson,7,17,3,2,0,0
16_season,Man City,Southampton,1,1,D,M Clattenburg,11,10,3,3,0,0
16_season,Crystal Palace,Liverpool,2,4,A,A Marriner,15,5,1,2,0,0
16_season,Man United,Burnley,0,0,D,M Clattenburg,12,9,1,3,1,0
16_season,Middlesbrough,Bournemouth,2,0,H,S Attwell,3,5,1,1,0,0
16_season,Sunderland,Arsenal,1,4,A,M Atkinson,9,13,4,3,0,0
16_season,Tottenham,Leicester,1,1,D,R Madley,11,20,3,4,0,0
16_season,Watford,Hull,1,0,H,J Moss,13,8,1,2,0,0
16_season,West Brom,Man City,0,4,A,L Mason,17,10,4,3,0,0
16_season,Everton,West Ham,2,0,H,A Taylor,15,12,2,3,0,0
16_season,Southampton,Chelsea,0,2,A,M Jones,13,16,0,0,0,0
16_season,Stoke,Swansea,3,1,H,M Oliver,7,14,2,0,0,0
16_season,Bournemouth,Sunderland,1,2,A,M Dean,14,17,3,2,0,1
16_season,Burnley,Crystal Palace,3,2,H,A Taylor,11,12,1,2,0,0
16_season,Chelsea,Everton,5,0,H,R Madley,5,16,0,3,0,0
16_season,Man City,Middlesbrough,1,1,D,K Friend,7,15,1,3,0,0
16_season,West Ham,Stoke,1,1,D,A Marriner,11,10,4,1,0,0
16_season,Arsenal,Tottenham,1,1,D,M Clattenburg,11,17,1,2,0,0
16_season,Hull,Southampton,2,1,H,G Scott,13,15,0,5,0,0
16_season,Leicester,West Brom,1,2,A,C Pawson,8,8,0,2,0,0
16_season,Liverpool,Watford,6,1,H,M Oliver,14,10,1,2,0,0
16_season,Swansea,Man United,1,3,A,N Swarbrick,9,16,0,2,0,0
16_season,Crystal Palace,Man City,1,2,A,R Madley,12,15,1,2,0,0
16_season,Everton,Swansea,1,1,D,M Atkinson,13,12,4,2,0,0
16_season,Man United,Arsenal,1,1,D,A Marriner,14,11,3,3,0,0
16_season,Southampton,Liverpool,0,0,D,M Clattenburg,8,11,1,1,0,0
16_season,Stoke,Bournemouth,0,1,A,R East,17,10,3,2,0,0
16_season,Sunderland,Hull,3,0,H,L Mason,9,8,1,0,1,0
16_season,Tottenham,West Ham,3,2,H,M Dean,13,16,3,2,0,1
16_season,Watford,Leicester,2,1,H,N Swarbrick,12,18,2,3,0,0
16_season,Middlesbrough,Chelsea,0,1,A,J Moss,13,10,2,3,0,0
16_season,West Brom,Burnley,4,0,H,M Jones,12,12,0,0,0,0
16_season,Burnley,Man City,1,2,A,A Marriner,5,15,2,3,0,0
16_season,Chelsea,Tottenham,2,1,H,M Oliver,13,16,2,1,0,0
16_season,Hull,West Brom,1,1,D,P Tierney,7,10,3,2,0,0
16_season,Leicester,Middlesbrough,2,2,D,L Mason,15,12,4,4,0,0
16_season,Liverpool,Sunderland,2,0,H,A Taylor,5,9,1,3,0,0
16_season,Swansea,Crystal Palace,5,4,H,K Friend,12,24,4,5,0,0
16_season,Arsenal,Bournemouth,3,1,H,M Jones,12,13,3,5,0,0
16_season,Man United,West Ham,1,1,D,J Moss,16,16,3,1,0,0
16_season,Southampton,Everton,1,0,H,C Pawson,11,15,0,2,0,0
16_season,Watford,Stoke,0,1,A,R Madley,24,14,3,0,1,0
16_season,Crystal Palace,Southampton,3,0,H,N Swarbrick,11,13,3,1,0,0
16_season,Man City,Chelsea,1,3,A,A Taylor,14,9,2,3,2,0
16_season,Stoke,Burnley,2,0,H,M Clattenburg,7,13,3,2,0,0
16_season,Sunderland,Leicester,2,1,H,A Marriner,8,12,3,1,0,0
16_season,Tottenham,Swansea,5,0,H,J Moss,11,17,0,4,0,0
16_season,West Brom,Watford,3,1,H,G Scott,12,8,2,1,0,1
16_season,West Ham,Arsenal,1,5,A,C Pawson,10,11,3,3,0,0
16_season,Bournemouth,Liverpool,4,3,H,R Madley,9,17,2,2,0,0
16_season,Everton,Man United,1,1,D,M Oliver,13,11,2,3,0,0
16_season,Middlesbrough,Hull,1,0,H,M Dean,6,11,1,1,0,0
16_season,Arsenal,Stoke,3,1,H,L Mason,9,6,0,0,0,0
16_season,Burnley,Bournemouth,3,2,H,M Atkinson,14,18,2,2,0,0
16_season,Hull,Crystal Palace,3,3,D,M Jones,16,14,2,4,0,0
16_season,Leicester,Man City,4,2,H,M Oliver,10,7,2,1,0,0
16_season,Swansea,Sunderland,3,0,H,C Pawson,10,8,1,2,0,0
16_season,Watford,Everton,3,2,H,A Taylor,11,16,2,2,0,0
16_season,Chelsea,West Brom,1,0,H,M Dean,6,10,2,4,0,0
16_season,Liverpool,West Ham,2,2,D,M Clattenburg,7,8,2,0,0,0
16_season,Man United,Tottenham,1,0,H,R Madley,19,17,3,3,0,0
16_season,Southampton,Middlesbrough,1,0,H,S Attwell,14,12,4,3,0,0
16_season,Bournemouth,Leicester,1,0,H,P Tierney,5,15,0,3,0,0
16_season,Everton,Arsenal,2,1,H,M Clattenburg,10,10,1,1,1,0
16_season,Crystal Palace,Man United,1,2,A,C Pawson,16,10,2,2,0,0
16_season,Man City,Watford,2,0,H,K Friend,16,20,1,2,0,0
16_season,Middlesbrough,Liverpool,0,3,A,J Moss,11,14,1,0,0,0
16_season,Stoke,Southampton,0,0,D,A Taylor,9,10,1,2,1,0
16_season,Sunderland,Chelsea,0,1,A,N Swarbrick,15,10,3,2,0,0
16_season,Tottenham,Hull,3,0,H,A Marriner,6,14,0,2,0,0
16_season,West Brom,Swansea,3,1,H,M Oliver,8,8,0,0,0,0
16_season,West Ham,Burnley,1,0,H,R Madley,12,15,0,2,0,0
16_season,Crystal Palace,Chelsea,0,1,A,J Moss,12,15,2,3,0,0
16_season,Middlesbrough,Swansea,3,0,H,N Swarbrick,10,11,1,0,0,0
16_season,Stoke,Leicester,2,2,D,C Pawson,9,12,2,6,0,1
16_season,Sunderland,Watford,1,0,H,R Madley,10,9,1,2,0,0
16_season,West Brom,Man United,0,2,A,A Taylor,9,13,3,3,0,0
16_season,West Ham,Hull,1,0,H,L Mason,13,9,2,4,0,0
16_season,Bournemouth,Southampton,1,3,A,M Clattenburg,6,12,0,2,0,0
16_season,Man City,Arsenal,2,1,H,M Atkinson,9,13,4,2,0,0
16_season,Tottenham,Burnley,2,1,H,K Friend,10,11,1,2,0,0
16_season,Everton,Liverpool,0,1,A,M Dean,13,9,3,1,0,0
16_season,Arsenal,West Brom,1,0,H,N Swarbrick,11,7,2,1,0,0
16_season,Burnley,Middlesbrough,1,0,H,C Pawson,17,18,6,5,0,0
16_season,Chelsea,Bournemouth,3,0,H,M Jones,13,14,1,1,0,0
16_season,Hull,Man City,0,3,A,R Madley,11,14,1,0,0,0
16_season,Leicester,Everton,0,2,A,S Attwell,14,7,3,0,0,0
16_season,Man United,Sunderland,3,1,H,M Atkinson,6,9,1,1,0,0
16_season,Swansea,West Ham,1,4,A,A Marriner,10,12,0,0,0,0
16_season,Watford,Crystal Palace,1,1,D,M Clattenburg,18,17,2,4,0,0
16_season,Liverpool,Stoke,4,1,H,M Oliver,9,6,0,1,0,0
16_season,Southampton,Tottenham,1,4,A,M Dean,7,16,1,4,1,0
16_season,Hull,Everton,2,2,D,J Moss,10,13,2,2,0,0
16_season,Burnley,Sunderland,4,1,H,G Scott,10,8,1,1,0,0
16_season,Chelsea,Stoke,4,2,H,R Madley,12,10,3,2,0,0
16_season,Leicester,West Ham,1,0,H,A Taylor,11,8,5,3,0,0
16_season,Liverpool,Man City,1,0,H,C Pawson,12,12,2,1,0,0
16_season,Man United,Middlesbrough,2,1,H,L Mason,9,14,1,1,0,0
16_season,Southampton,West Brom,1,2,A,M Jones,13,17,1,3,1,0
16_season,Swansea,Bournemouth,0,3,A,K Friend,14,9,2,0,0,0
16_season,Arsenal,Crystal Palace,2,0,H,A Marriner,9,7,1,1,0,0
16_season,Watford,Tottenham,1,4,A,M Oliver,11,6,3,0,0,0
16_season,Everton,Southampton,3,0,H,K Friend,5,14,0,1,0,0
16_season,Man City,Burnley,2,1,H,L Mason,11,11,4,3,1,0
16_season,Middlesbrough,Leicester,0,0,D,R Madley,10,9,3,0,0,0
16_season,Sunderland,Liverpool,2,2,D,A Taylor,10,10,2,3,0,0
16_season,West Brom,Hull,3,1,H,M Clattenburg,5,4,0,0,0,0
16_season,West Ham,Man United,0,2,A,M Dean,9,13,1,2,1,0
16_season,Bournemouth,Arsenal,3,3,D,M Oliver,10,12,3,3,1,0
16_season,Crystal Palace,Swansea,1,2,A,P Tierney,13,14,2,1,0,0
16_season,Stoke,Watford,2,0,H,N Swarbrick,10,15,1,2,0,0
16_season,Tottenham,Chelsea,2,0,H,M Atkinson,9,8,3,2,0,0
16_season,Burnley,Southampton,1,0,H,P Tierney,14,14,1,2,0,0
16_season,Hull,Bournemouth,3,1,H,M Atkinson,13,11,0,1,0,0
16_season,Leicester,Chelsea,0,3,A,A Marriner,8,9,1,0,0,0
16_season,Sunderland,Stoke,1,3,A,M Dean,16,11,3,1,0,0
16_season,Swansea,Arsenal,0,4,A,M Jones,12,8,2,0,0,0
16_season,Tottenham,West Brom,4,0,H,A Taylor,11,12,0,2,0,0
16_season,Watford,Middlesbrough,0,0,D,J Moss,15,15,3,1,0,0
16_season,West Ham,Crystal Palace,3,0,H,N Swarbrick,10,14,4,2,0,0
16_season,Everton,Man City,4,0,H,M Clattenburg,17,7,2,2,0,0
16_season,Man United,Liverpool,1,1,D,M Oliver,17,13,1,3,0,0
16_season,Bournemouth,Watford,2,2,D,L Mason,6,16,1,1,0,0
16_season,Crystal Palace,Everton,0,1,A,A Taylor,10,15,0,1,0,0
16_season,Liverpool,Swansea,2,3,A,K Friend,7,7,1,1,0,0
16_season,Man City,Tottenham,2,2,D,A Marriner,10,7,2,4,0,0
16_season,Middlesbrough,West Ham,1,3,A,M Atkinson,7,14,2,1,0,0
16_season,Stoke,Man United,1,1,D,M Clattenburg,12,13,4,0,0,0
16_season,West Brom,Sunderland,2,0,H,C Pawson,15,12,1,1,0,0
16_season,Arsenal,Burnley,2,1,H,J Moss,12,11,1,3,1,0
16_season,Chelsea,Hull,2,0,H,N Swarbrick,12,10,1,3,0,0
16_season,Southampton,Leicester,3,0,H,M Oliver,8,10,0,1,0,0
16_season,Arsenal,Watford,1,2,A,A Marriner,12,15,3,3,0,0
16_season,Bournemouth,Crystal Palace,0,2,A,J Moss,14,23,0,4,0,0
16_season,Burnley,Leicester,1,0,H,M Dean,4,8,1,0,0,0
16_season,Liverpool,Chelsea,1,1,D,M Clattenburg,13,8,2,1,0,0
16_season,Middlesbrough,West Brom,1,1,D,S Attwell,12,13,2,1,0,0
16_season,Sunderland,Tottenham,0,0,D,L Mason,9,13,2,1,0,0
16_season,Swansea,Southampton,2,1,H,R East,10,19,2,0,0,0
16_season,Man United,Hull,0,0,D,M Jones,20,16,1,4,0,0
16_season,Stoke,Everton,1,1,D,C Pawson,21,12,1,0,0,0
16_season,West Ham,Man City,0,4,A,K Friend,11,14,3,3,0,0
16_season,Chelsea,Arsenal,3,1,H,M Atkinson,14,8,1,1,0,0
16_season,Crystal Palace,Sunderland,0,4,A,A Marriner,8,8,3,3,0,0
16_season,Everton,Bournemouth,6,3,H,M Jones,14,4,3,1,0,0
16_season,Hull,Liverpool,2,0,H,L Mason,9,12,2,1,0,0
16_season,Southampton,West Ham,1,3,A,G Scott,12,15,0,2,0,0
16_season,Tottenham,Middlesbrough,1,0,H,M Clattenburg,8,11,0,1,0,0
16_season,Watford,Burnley,2,1,H,M Oliver,12,10,5,0,0,1
16_season,West Brom,Stoke,1,0,H,K Friend,6,13,2,2,0,0
16_season,Leicester,Man United,0,3,A,A Taylor,12,13,2,4,0,0
16_season,Man City,Swansea,2,1,H,M Dean,9,13,2,3,0,0
16_season,Arsenal,Hull,2,0,H,M Clattenburg,12,9,3,1,0,1
16_season,Liverpool,Tottenham,2,0,H,A Taylor,14,14,3,4,0,0
16_season,Man United,Watford,2,0,H,R Madley,10,12,1,0,0,0
16_season,Middlesbrough,Everton,0,0,D,M Dean,14,9,2,0,0,0
16_season,Stoke,Crystal Palace,1,0,H,M Atkinson,10,14,1,3,0,0
16_season,Sunderland,Southampton,0,4,A,P Tierney,12,14,1,0,0,0
16_season,West Ham,West Brom,2,2,D,M Oliver,7,14,3,2,0,0
16_season,Burnley,Chelsea,1,1,D,K Friend,12,11,3,2,0,0
16_season,Swansea,Leicester,2,0,H,J Moss,7,14,2,2,0,0
16_season,Bournemouth,Man City,0,2,A,N Swarbrick,8,11,2,3,0,0
16_season,Chelsea,Swansea,3,1,H,N Swarbrick,11,14,1,3,0,0
16_season,Crystal Palace,Middlesbrough,1,0,H,R Madley,13,15,3,1,0,0
16_season,Everton,Sunderland,2,0,H,S Attwell,10,16,0,2,0,0
